ID,Mean,SD
21802141,52999,32525.49772101881
74904413,8380.416666666666,3156.418726063199
106708987,2260.1666666666665,522.2621830831598
5786026,1948.3584905660377,706.8158310430393
17735371,9081.4,5145.051632393984
12314127,14479.5,4728.81906127584
162066057,14051.101123595505,910.3905885655472
440738448,89461.09090909091,11177.164528525438
2222774106,3443.266666666667,377.0040622080197
140469731,590.8536585365854,106.88728596063287
1772352570,2222.4347826086955,308.0765586796651
13793866,205000,7071.067811865475
44114667,122400,16531.182655817458
152980628,488.9418604651163,77.02243441723178
3339385534,772.439024390244,154.54999980273178
46354572,79041.85714285714,62433.195997611634
69434797,46500,2121.3203435596424
154414805,3920,552.0615907668274
40893128,160000,NaN
48078122,4702.590909090909,1440.7441086397287
89615783,1044.2391304347825,224.25285181217586
321346550,500000,NaN
5207053,3405.4545454545455,606.6632894143542
61458403,5985.777777777777,1643.4766333734244
315549086,2854.785714285714,381.468453897149
1402433072,337224.75,75183.9587295721
1778004652,NaN,-0
2222720521,339472.125,57554.82419010218
13416321,24086.175675675677,2036.5329681493313
29109681,15076.857142857143,1893.9593788071138
31107926,28502.090909090908,3967.2228688226082
187845352,762.6825396825396,135.32014910846166
335085355,12374,2406.875900415308
557058485,4039.875,689.9974758407936
85157065680913,3004.235294117647,559.5782137565081
24659699,98207.75,125345.08666444276
1483632,3291.5,532.9184006385316
340623941,9858.166666666666,2567.16968014712
29410313,157666,13277.901490823013
66330204,163333,51854.968691534275
78621687,13958.166666666666,4025.866387085725
76692381,181.44444444444446,25.028983199482948
583721561,11702.38202247191,1066.2853799482189
76692831,276.15942028985506,62.50849899587909
69938945,3043.5,132.48521930137466
192562352,24550,7842.831121476479
10159606132,2901.3736263736264,1060.3337592826522
64160547,4099.5,1662.3315854545988
10855907451,274.92,49.36529393103984
12716490360,579.5333333333333,183.11452134641843
202074359,1144.7241379310344,235.9448931654115
14492601,184500,NaN
48039204,4704.4375,3051.2484432605615
67250836,577.8787878787879,105.62367087203913
75941738,22799.75,3563.0324514379604
89491407,3209.75,3121.8065625989248
425119181,2799.3684210526317,2311.92654656785
20573098,35102.22222222222,8731.497734893164
61847146,1239.3950617283951,157.62516288749285
61894723,2686.5,404.9705456661544
71499557,10319.5,6392.902653203264
148816890,8397.90909090909,1289.4105207066873
1323384,3969696,NaN
42781797,296.35064935064935,52.021950385786354
28672561,3276.4285714285716,602.7575126430355
439985494,201333.33333333334,12662.279942148387
119916848,17069.23076923077,35797.8298763902
22070807,1001.0975609756098,198.96655559139185
17238263,1608.1,334.4522719645095
18174901,672,60.67106211183201
22920501,158069.0588235294,16730.972881420363
33872870,306738.64285714284,102124.41107229279
19045610,35995,5652.611608805261
35167822,2379.8888888888887,365.3883018257578
49763745,2295.2948717948716,520.2985184344161
73791866,180000,NaN
64559537,43055.25,12029.464466764215
3798251754,155.62637362637363,16.558749517768117
82332662,48233.333333333336,24916.00548509599
96079188,1730.1363636363637,458.9295303778281
161212509,5579.4,1988.695627792247
250394348,1271.861111111111,233.86481476977588
259423244,20000000,NaN
26017873,9285.5,1691.9317784287707
64510677,10250,433.0127018922193
878889105,3599999,NaN
105342700,883.6774193548387,156.49587579161616
77443704,496999.5,66467.33032475428
383607653,28676.352941176472,4687.845293164767
25930613,15007.916666666666,4676.016456506024
68354832,4575.666666666667,1968.9711357288436
32278729,192500.5,60110.44036188722
17680660,200000,NaN
2257539462,5938.944444444444,1927.477915406318
152980763,245.55072463768116,46.09534116815228
